id,character,keyword,pinyin,description
1,一,One,yī,一流 (yī liú) First-class -- 万一 (wàn yī) In case -- 唯一 (wéi yī) Only -- 奄奄一息 (yǎnyǎn yī xī) On the verge of death -- 一辈子 (yī bèi zi) all one's life -- 一举一动 (yī jǔ yī dòng) Every move -- 一决高下 (yì jué gāo xià) Decide (on) who is superior -- 合二为一 (hé èr wéi yī) Merge into one -- 一步之遥 (yī bù zhī yáo) A step away -- 一切 (yī qiè) Everything -- 一致 (yī zhì) unanimous/consistent
2,二,Two,èr,合二为一 (hé èr wéi yī) Merge into one
3,三,Three,sān,朝三暮四 (zhāo sān mù sì) Fickle
4,四,Four,sì,朝三暮四 (zhāo sān mù sì) Fickle
5,五,Five,wǔ,
6,六,Six,liù,
7,七,Seven,qī,
8,八,Eight,bā,
9,九,Nine,jiǔ,
10,十,Ten,shí,十分精彩 (shí fēn jīng cǎi) Very exciting
11,口,Mouth,kǒu,口气 (kǒu qì) Tone -- 口出狂言 (kǒu chū kuáng yán) Boastful words
12,日,Day,rì,时日 (shí rì) Time -- 末日 (mò rì) Doomsday
13,月,Month,yuè,
14,田,Rice Field,tián,田径 (tián jìng) Track and field
15,目,Eye,mù,目标 (mù biāo) Target -- 死不瞑目 (sǐ bù míng mù) Die with regret
16,古,Ancient,gǔ,古怪 (gǔ guài) eccentric
17,胡,Recklessly,hú,"胡闹 (hú nào) Fool around, act recklessly"
18,叶,Leaf,yè,
19,吾,I (literary),wú,
20,朋,Companion,péng,
21,明,Bright,míng,"明智 (míng zhì) Wise -- 高明 (gāo míng) skilled; wise; brilliant (often describing methods/people) -- 明显 (míngxiǎn) obvious, clear"
22,品,Goods,pǐn,作品 (zuò pǐn) artwork/literary work
23,晶,Sparkling,jīng,
24,昌,Prosperous,chāng,
25,唱,Sing,chàng,
26,早,Early,zǎo,早就 (zǎojiù) Already happened earlier
27,旭,Rising Sun,xù,
28,世,Generation,shì,尘世 (chén shì) Mundane world -- 救世主 (jiù shì zhǔ) savior; Messiah (宗教语境)
29,胃,Stomach,wèi,
30,旦,Daybreak,dàn,
31,凹,Concave,āo,
32,凸,Convex,tū,
v1p31,p.,p.A drop of,,
v1p32,p.丨,p.Walking stick,,
33,自,Oneself,zì,自幼 (zìyòu) Since Childhood -- 镇定自若 (zhèn dìng zì ruò) Calm and composed -- 自豪 (zìháo) Proud -- 自如 (zì rú) with ease/fluently -- 骄傲自大 (jiāo ào zì dà) arrogant; conceited -- 自卑 (zìbēi) low self-esteem; feel inferior
34,白,White,bái,白痴 (báichī) idiot
35,百,Hundred,bǎi,漏洞百出 (lòudòng bǎichū) Full of loopholes
36,皂,Soap,zào,
37,旧,Old,jiù,
38,中,Middle,zhōng,无意中 (wú yì zhōng) Unintentionally
39,千,Thousand,qiān,千载难逢 (qiān zǎi nán féng) Once in a lifetime
40,舌,Tongue,shé,
41,升,Liter,shēng,
42,丸,Pill,wán,
43,卜,Divination,bǔ,占卜 (zhān bǔ) Divination
44,占,Tell Fortunes,zhān,占便宜 (zhàn piányi) Take Advantage -- 占卜 (zhān bǔ) Divination -- 占优势 (zhàn yōu shì) Dominate -- 占用 (zhàn yòng) Occupy
45,上,Above,shàng,上阵 (shàngzhèn) Go into battle -- 实际上 (shí jì shàng) Actually
46,下,Below,xià,"下面 (xià miàn) Below -- 一决高下 (yì jué gāo xià) Decide (on) who is superior -- 蜕下 (tuì xià) Shed -- 地下室 (dì xià shì) Basement -- 下载 (xiàzài) to download -- 私下 (sīxià) privately, in private -- 接下来 (jiē xiàlái) next, following -- 腋下 (yèxià) armpit"
47,卡,Card,kǎ,
48,卓,Eminent,zhuó,艰苦卓绝 (jiān kǔ zhuó jué) extremely hard and bitter/arduous
v1p37,p.,p.Mist,,
49,朝,Dynasty,cháo,朝三暮四 (zhāo sān mù sì) Fickle
50,嘲,Ridicule (v.),cháo,
v1p39-1,p.,p.Animal legs,,
v1p39-2,p.勹,p.Bound up,,
v1p40,p.丷,p.Horns,,
51,只,Only,zhǐ,只好 (zhǐhǎo) have no choice but to
52,贝,Shellfish,bèi,
53,贴,Paste (v.),tiē,
54,贞,Chaste,zhēn,
55,员,Employee,yuán,
56,儿,Youngster,ér,
57,几,How many?,jǐ,几乎 (jī hū) Almost -- 所剩无几 (suǒ shèng wú jǐ) Very little left
58,见,See,jiàn,见识 (jiàn shí) enrich one's experience -- 少见 (shǎo jiàn) Rare
59,元,Beginning,yuán,异次元 (yì cì yuán) alternate dimension; different plane of existence
60,页,Page,yè,
61,顽,Stubborn,wán,顽强 (wán qiáng) Tenacious/tough -- 顽固 (wán gù) Stubborn
62,凡,Ordinary,fán,
63,肌,Muscle,jī,
64,负,Defeated,fù,胜负难料 (shèng fù nán liào) outcome hard to predict -- 肩负 (jiān fù) Shoulder (a responsibility) -- 欺负 (qīfu) to bully
65,万,Ten Thousand,wàn,万一 (wàn yī) In case
66,匀,Uniform (adj.),yún,
67,句,Sentence,jù,换句话说 (huàn jù huà shuō) in other words
68,旬,Decameron,xún,
69,勺,Ladle,sháo,
70,的,Bull’s Eye,de,的确 (díquè) Indeed -- 有的是 (yǒu de shì) Plenty of -- 托你的福 (tuō nǐ de fú) thanks to you (polite)
71,首,Heads,shǒu,首先 (shǒu xiān) First
